model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score
security_camera_MLP_1_3_sgd,train,session,1,1,1,0.997668699980969,0.9635200674773319,0.9708215297450425,0.96715701837937,14120,0.9847371378256814
security_camera_MLP_1_4,train,session,1,1,0,0.9981620040666286,0.9993636099162563,0.9987306218654927,0.9990470156268664,385228,0.9906896735389786
security_camera_MLP_1_4,train,session,1,1,1,0.9981620040666286,0.9659565580618212,0.9826487252124646,0.9742311473107709,14120,0.9906896735389786
security_camera_MLP_1_4_sgd,train,session,1,1,0,0.9979266203912377,0.9993868091209545,0.9984632477390013,0.9989248149590962,385228,0.9908746833595856
security_camera_MLP_1_4_sgd,train,session,1,1,1,0.9979266203912377,0.9591047250621719,0.9832861189801699,0.971044901384809,14120,0.9908746833595856
security_camera_MLP_1_5,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_5,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_5_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_5_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_1,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_1,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_1_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_1_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_2,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_2,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_2_sgd,train,session,1,1,0,0.9915111631960095,0.9913096512537571,0.9999662537510253,0.9956191362332325,385228,0.8804009739010084
security_camera_MLP_2_2_sgd,train,session,1,1,1,0.9915111631960095,0.9987913722573447,0.7608356940509915,0.8637240713941148,14120,0.8804009739010084
security_camera_MLP_2_3,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_3,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_3_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_3_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_4,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_4,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_4_sgd,train,session,1,1,0,0.9751094283682402,0.975536880945985,0.9992549866572523,0.9872535014400722,385228,0.6578073800141786
security_camera_MLP_2_4_sgd,train,session,1,1,1,0.9751094283682402,0.9396297854438368,0.3163597733711048,0.473349581434778,14120,0.6578073800141786
security_camera_MLP_2_5,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_5,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_5_sgd,train,session,1,1,0,0.9976286346745195,0.9990519751383726,0.9984892063920587,0.9987705114905893,385228,0.9863196740175592
security_camera_MLP_2_5_sgd,train,session,1,1,1,0.9976286346745195,0.9594057334170328,0.9741501416430595,0.9667217204905646,14120,0.9863196740175592
security_camera_MLP_3_1,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_3_1,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_3_1_sgd,train,session,1,1,0,0.9896205815479231,0.9912724666303986,0.9980271423676368,0.9946383367331495,385228,0.879148132090334
security_camera_MLP_3_1_sgd,train,session,1,1,1,0.9896205815479231,0.9338842975206612,0.7602691218130312,0.8381807534647668,14120,0.879148132090334
security_camera_MLP_3_2,train,session,1,1,0,0.9989532938690064,0.9995638017790656,0.9993510336735647,0.9994574064026045,385228,0.9937265083381988
security_camera_MLP_3_2,train,session,1,1,1,0.9989532938690064,0.9823968455147163,0.9881019830028328,0.9852411552856436,14120,0.9937265083381988
security_camera_MLP_3_2_sgd,train,session,1,1,0,0.997773871410399,0.9989717784338316,0.9987202384042697,0.9988459925826789,385228,0.9853374563126165
security_camera_MLP_3_2_sgd,train,session,1,1,1,0.997773871410399,0.9653232046141943,0.9719546742209632,0.9686275893707873,14120,0.9853374563126165
