model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score,tp,fp,tn,fn
security_camera_forest_entropy_21,test,sequence,1,99,1,0.958,1.0,0.58,0.7341772151898733,100,0.79,58,0,900,42
security_camera_forest_entropy_23,test,session,1,1,0,0.929,0.9268795056642637,1.0,0.9620523784072688,900,0.645,29,0,900,71
security_camera_forest_entropy_23,test,session,1,1,1,0.929,1.0,0.29,0.44961240310077516,100,0.645,29,0,900,71
security_camera_forest_entropy_23,test,sequence,1,99,0,0.929,0.9268795056642637,1.0,0.9620523784072688,900,0.645,29,0,900,71
security_camera_forest_entropy_23,test,sequence,1,99,1,0.929,1.0,0.29,0.44961240310077516,100,0.645,29,0,900,71
security_camera_forest_entropy_3,test,session,1,1,0,0.946,0.9433962264150944,1.0,0.970873786407767,900,0.73,46,0,900,54
security_camera_forest_entropy_3,test,session,1,1,1,0.946,1.0,0.46,0.6301369863013699,100,0.73,46,0,900,54
security_camera_forest_entropy_3,test,sequence,1,99,0,0.946,0.9433962264150944,1.0,0.970873786407767,900,0.73,46,0,900,54
security_camera_forest_entropy_3,test,sequence,1,99,1,0.946,1.0,0.46,0.6301369863013699,100,0.73,46,0,900,54
security_camera_forest_entropy_7,test,session,1,1,0,0.919,0.9174311926605505,1.0,0.9569377990430622,900,0.595,19,0,900,81
security_camera_forest_entropy_7,test,session,1,1,1,0.919,1.0,0.19,0.319327731092437,100,0.595,19,0,900,81
security_camera_forest_entropy_7,test,sequence,1,99,0,0.919,0.9174311926605505,1.0,0.9569377990430622,900,0.595,19,0,900,81
security_camera_forest_entropy_7,test,sequence,1,99,1,0.919,1.0,0.19,0.319327731092437,100,0.595,19,0,900,81
security_camera_forest_gini_11,test,session,1,1,0,0.945,0.9424083769633508,1.0,0.9703504043126685,900,0.725,45,0,900,55
security_camera_forest_gini_11,test,session,1,1,1,0.945,1.0,0.45,0.6206896551724138,100,0.725,45,0,900,55
security_camera_forest_gini_11,test,sequence,1,99,0,0.945,0.9424083769633508,1.0,0.9703504043126685,900,0.725,45,0,900,55
security_camera_forest_gini_11,test,sequence,1,99,1,0.945,1.0,0.45,0.6206896551724138,100,0.725,45,0,900,55
security_camera_forest_gini_15,test,session,1,1,0,0.934,0.9316770186335404,1.0,0.9646302250803859,900,0.67,34,0,900,66
security_camera_forest_gini_15,test,session,1,1,1,0.934,1.0,0.34,0.5074626865671642,100,0.67,34,0,900,66
security_camera_forest_gini_15,test,sequence,1,99,0,0.934,0.9316770186335404,1.0,0.9646302250803859,900,0.67,34,0,900,66
security_camera_forest_gini_15,test,sequence,1,99,1,0.934,1.0,0.34,0.5074626865671642,100,0.67,34,0,900,66
security_camera_forest_gini_19,test,session,1,1,0,0.919,0.9174311926605505,1.0,0.9569377990430622,900,0.595,19,0,900,81
security_camera_forest_gini_19,test,session,1,1,1,0.919,1.0,0.19,0.319327731092437,100,0.595,19,0,900,81
security_camera_forest_gini_19,test,sequence,1,99,0,0.919,0.9174311926605505,1.0,0.9569377990430622,900,0.595,19,0,900,81
security_camera_forest_gini_19,test,sequence,1,99,1,0.919,1.0,0.19,0.319327731092437,100,0.595,19,0,900,81
security_camera_forest_gini_21,test,session,1,1,0,0.931,0.9287925696594427,1.0,0.9630818619582664,900,0.655,31,0,900,69
security_camera_forest_gini_21,test,session,1,1,1,0.931,1.0,0.31,0.47328244274809156,100,0.655,31,0,900,69
security_camera_forest_gini_21,test,sequence,1,99,0,0.931,0.9287925696594427,1.0,0.9630818619582664,900,0.655,31,0,900,69
